"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Revisiting the Frontiers of Analog and Mixed-Signal Integrated Circuits Architectures and Techniques towards the future Internet of Everything (IoE) Applications","R. P. Martins; P. -I. Mak; S. -W. Sin; M. -K. Law; Y. Zhu; Y. Lu; J. Yin; C. -H. Chan; Y. Chen; K. -F. Un; M. Huang; M. Zhang; Y. Jiang; W. -H. Yu",NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"Revisiting the Frontiers of Analog and Mixed-Signal Integrated Circuits Architectures and Techniques towards the future Internet of Everything (IoE) Applications","","2021","","","","","Technology-assisted People-to-People (P2P) interactions, embedded in a global environment, will be at the core of 21st century communications and will command the technological development of the forthcoming future. The intelligent interactivity of people, process (delivering the right information to the right person/machine at the right time), data and things, incorporates the Internet-of-Everything (IoE) that expands itself beyond the Internet-of-Things (IoT). In general, IoT comprises all physical or cyber objects (things) with an address that can transmit data (without human-to-machine interactions), while the IoE also involves communications among the users and the whole universe of electronic gadgets. Further, they both operate with data acquired from analog sources, thus connecting two different realities, the analog (physical/real) and the digital (cyber/virtual) worlds. Since the interface between the two realms deals with analog signals, its mandatory functions integrate several analog and mixed-signal sub-systems that include signal sensing, transmission and reception, frequency generation, energy harvesting, in-memory processing, data and power conversion. This publication presents state-of-the-art designs of the most critical building blocks of the analog/digital interface highlighting new and innovative circuit architectures and techniques. It addresses capacitive sensor interfaces, ultra-low-power wireless transceivers, key technologies for wireline transceivers, oscillators and frequency generators, integrated energy harvesting interfaces, in-memory processing, as well as, data and power converters, all exhibiting high quality performance with low power consumption, high energy-efficiency and high speed, thus enabling a reliable and consistent development of the IoE while enlarging its frontiers. In the coming decades, with the continuous evolution of electronics downscaling, the challenges that the above-mentioned sub-systems face will be tremendous in terms of the requirements for ultra-low power and ultra-high speed, obtained with the maximum energy-efficiency. Thus, the analog and mixed-signal very large scale integration area of work will continue to be an attractive field for research for design engineers both in the academia and in the industry, as it has been always the case since the emergence of silicon planar electronics 6 decades ago.","","9781680838930","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9604004.pdf&bkn=9604003&pdfType=book","","","","","","","","5 Nov 2021","","","now","Now Foundations and Trends Books"
"Designing Production-Grade and Large-Scale IoT Solutions: A comprehensive and practical guide to implementing end-to-end IoT solutions","M. Abdelaziz",NA,"Designing Production-Grade and Large-Scale IoT Solutions: A comprehensive and practical guide to implementing end-to-end IoT solutions","","2022","","","","","Get to grips with key IoT aspects along with modern trends, architectures, and technologies that support IoT solutions, such as cloud computing, modern app architecture paradigms, and data analyticsKey FeaturesUnderstand the big picture of designing production-grade IoT solutions from an industry expertGet up and running with the development and designing aspects of the Internet of ThingsSolve business problems specific to your domain using different IoT platforms and technologiesBook DescriptionWith the rising demand for and recent enhancements in IoT, a developer with sound knowledge of IoT is the need of the hour. This book will help you design, build, and operate large-scale E2E IoT solutions to transform your business and products, increase revenue, and reduce operational costs. Starting with an overview of how IoT technologies can help you solve your business problems, this book will be a useful guide to helping you implement end-to-end IoT solution architecture. You'll learn to select IoT devices; real-time operating systems; IoT Edge covering Edge location, software, and hardware; and the best IoT connectivity for your IoT solution. As you progress, you'll work with IoT device management, IoT data analytics, IoT platforms, and put these components to work as part of your IoT solution. You'll also be able to build IoT backend cloud from scratch by leveraging the modern app architecture paradigms and cloud-native technologies such as containers and microservices. Finally, you'll discover best practices for different operational excellence pillars, including high availability, resiliency, reliability, security, cost optimization, and high performance, which should be applied for large-scale production-grade IoT solutions. By the end of this IoT book, you'll be confident in designing, building, and operating IoT solutions.What you will learnUnderstand the detailed anatomy of IoT solutions and explore their building blocksExplore IoT connectivity options and protocols used in designing IoT solutionsUnderstand the value of IoT platforms in building IoT solutionsExplore real-time operating systems used in microcontrollersAutomate device administration tasks with IoT device managementMaster different architecture paradigms and decisions in IoT solutionsBuild and gain insights from IoT analytics solutionsGet an overview of IoT solution operational excellence pillarsWho this book is forThis book is for E2E solution architects, systems and technical architects, and IoT developers looking to design, build, and operate E2E IoT applications and solutions. Basic knowledge of cloud computing, software engineering, and distributed system design will help you get the most out of this book.","","9781838827182","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10163358.pdf&bkn=10163357&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Beyond 5G Communication Networks Enabling Massive IOT","R. Sharma; A. Sharma; G. Chandel; V. Goyal","University Institute of computing, Chandigarh University, Mojhali, Punjab; Electrical Engineeing Department, Chandigarh University, Mohali, India; Department of Electronics Engineering, Chandigarh University, Mohali, India; Electronics and Communication Engineering, GLA University, Mathura, India","2023 International Conference on Power, Instrumentation, Control and Computing (PICC)","8 Jun 2023","2023","","","1","6","The future of humanity is dependent upon the IOT(Internet of things) and 5G network, which means most of the machine and mobile phones and devices are operating through the IOT(Internet of things) and to transfer the data from one port to another port through the 5G network and it is seen that it play an very crucial role in this area. To use this IOT(Internet of things) have to create an advanced intelligent environment into the world which is running through the human command, voice like example amazon ALEXA device, most of AC system which operated with the phone and audio. When a large number of the device is operated with some device then some large number interaction between the heterogonous device and increase the demand like strong connection, exceptionally high data throughput, low latency, creating applications that play critical roles in IOT(Internet of things), as a result of this need 5G technology is an important facilitator for IOT(Internet of things) technology. this work gives all the theoretical information about the IOT(Internet of things) and 5G technology, also give the detail that how the technology is changing day by day due to this technology and it is going to be large scale in future for every single child and old person, so this work helps all gathering information about Latest technologies and work in this field.","","979-8-3503-3446-3","10.1109/PICC57976.2023.10142732","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10142732","IOT(Internet of things);wireless technologies;D2D communication;M2M wave Technique","5G mobile communication;Law;Virtual assistants;Turning;Throughput;Mobile handsets;Internet of Things","","1","","28","IEEE","8 Jun 2023","","","IEEE","IEEE Conferences"
"Deep learning for internet of things in fog computing: Survey and Open Issues","J. Tmamna; E. B. Ayed; M. B. Ayed","REGIM-Lab.:REsearch Groups in Intelligent Machines, University of Sfax, National Engineering School of Sfax; REGIM-Lab.:REsearch Groups in Intelligent Machines, University of Sfax, National Engineering School of Sfax; REGIM-Lab.:REsearch Groups in Intelligent Machines, University of Sfax, National Engineering School of Sfax","2020 5th International Conference on Advanced Technologies for Signal and Image Processing (ATSIP)","20 Oct 2020","2020","","","1","6","In recent years, the internet of things is getting very popular where it arose in several areas such as education, and healthcare to enhance our live. This popularity has led to an increase number of IoT devices and thus generates massive volume of data. However, this data requires efficient methods of analysis to provide intelligent services. Recently, the deep learning can meet the requirements of IoT data analysis by providing techniques for large scale data analysis and meaningful feature extraction. The deep learning implementation is traditionally delivered to cloud computing due to its high compute resources provisioning. However, given the sheer volume of IoT data, the cloud computing fall to meet the IoT requirements, it presents many issues in term of time response, large data transmission, energy consumption, etc. To address this challenges the fog computing, new layer between cloud computing and internet of things devices, appears. So, moving the implementation of deep learning to fog computing can achieve the requirements of internet of things systems and enhance their performances. In this paper, we introduce deep learning for internet of things, next the application of deep learning in internet of things. We address fog computing for the internet of things. Finally, we present the deep learning in fog computing.","2687-878X","978-1-7281-7513-3","10.1109/ATSIP49331.2020.9231685","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9231685","internet of things;deep learning;fog computing","Internet of Things;Cloud computing;Edge computing;Deep learning;Data analysis;Real-time systems;Feature extraction","","10","","54","IEEE","20 Oct 2020","","","IEEE","IEEE Conferences"
"Research on Parallel Computing Algorithm in Internet of Things System","Y. Li","Guangdong Peizheng College, Guangzhou, China","2021 International Conference on Internet, Education and Information Technology (IEIT)","7 Sep 2021","2021","","","40","43","The parallel computing algorithm is applied to the application layer of the Internet of things, which aims to improve the computing speed, expand the scale of problem solving and solve the large and complex computing problems of the Internet of things system. Parallel computing can be divided into time parallel and spatial parallel. Time parallelism is pipeline technology, while spatial parallelism refers to the concurrent execution of computation with multiple processors to reduce the time needed to solve complex problems. The software platform of the application layer of the Internet of things is built, the window structure of the application layer of the Internet of things is established, and the complex and diverse programming methods of parallel computing are completed in the application layer of the Internet of things. By using parallel algorithm and parallel programming, some complex computing is transformed into simple calculation which satisfies the accuracy through algorithm analysis. Parallel computing algorithm is used in Internet of things, and many kinds of computing resources are used to solve the computing problems, and the computing speed and data processing ability of Internet of things system are improved.","","978-1-6654-2563-6","10.1109/IEIT53597.2021.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9525948","parallel;algorithm;time;space","Program processors;Parallel programming;Pipelines;Parallel processing;Software;Internet of Things;Problem-solving","","","","8","IEEE","7 Sep 2021","","","IEEE","IEEE Conferences"
"Automated Solar Plant using IoT Technology","S. Gochhait; H. Patil; T. Hasarmani; V. Patin; O. Maslova","Symbiosis Inst.of Digital & Telecom Mangmt, Symbiosis International (DeemedUniversity), Pune, India; Symbiosis Inst.of Digital & Telecom Mangmt, Symbiosis International (DeemedUniversity), Pune, India; Bharati Vidyapeeth College of Engineering, Savitribai Phule Pune University, Pune, India; Neurosciences Research Institute, Samara State Medical University, Samara, Russia; Neurosciences Research Institute, Samara State Medical University, Samara, Russia","2022 4th International Conference on Electrical, Control and Instrumentation Engineering (ICECIE)","5 Jan 2023","2022","","","1","6","The Internet of Things is an evolving technology that effectively and efficiently enhances everyday activities. Reduce your living expenses by performing the necessary procedures. For synchronized communication, the tools and materials are integrated via the Internet. The price of electricity is continuously increasing, so we need natural sources of electricity that can generate power without cost. In this case, photovoltaic panels produce electricity naturally from the sun. Photovoltaic cells are used in these systems that convert sunlight into electricity. In the power sector, renewable energy sources are currently an exceptional solution for filling the gap in supply. Since solar energy is widely available, unlike some resources that are geographically restricted, it is very beneficial for all renewable energy resources. An advanced plant-based monitoring system coupled with a web-based visual interface is required for this large-scale PV system distribution. In most cases, they are placed in inaccessible places so self-monitoring is impossible in a particular area. Internet of Things (IoT) enabled devices can be used to build control systems. By using the Internet of Things, objects can be detected and controlled remotely over a fixed network, offering opportunities for virtually integrating physical objects into computer-based systems. The use of IoT appears to be beneficial in monitoring renewable energy production. An Arduino-based system is used in this IoT app for tracking the parameters of solar panels. The system continuously monitors the solar panel, and the output power is transmitted over the Internet to the IoT Network A solar photovoltaic power generation plant can be significantly enhanced by using Internet of Things technology for monitoring, analysing, and maintaining its performance. Technology advancements are making renewable energy equipment more affordable worldwide, encouraging the installation of large-scale solar photovoltaic systems. In this paper, an IoT-based approach to solar energy and monitoring is proposed that allows users to monitor and control their solar cells.","2832-9848","978-1-6654-8076-5","10.1109/ICECIE55199.2022.10000287","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10000287","Arduino;Internet of Thing;Solar PV System","Renewable energy sources;Visualization;Costs;Uncertainty;Photovoltaic cells;Solar energy;Internet of Things","","1","","23","IEEE","5 Jan 2023","","","IEEE","IEEE Conferences"
"Research on Collaboration Method of Edge IoT Agent Based on Actor Model","B. Zhang; W. Miao; L. Wei","Key Laboratory of Networked Control Systems, Chinese Academy of Sciences, Shenyang, China; Information & Telecommunication Branch, State Grid Jiangsu Electric Power Co., Ltd., Nanjing, China; State Grid Jiangsu Electric Power Co., Ltd., Nanjing, China","2021 5th International Conference on Power and Energy Engineering (ICPEE)","3 Jan 2022","2021","","","233","238","Focusing on the resource constrained IoT agent collaboration requirements at the edge of the power Internet of things, this paper proposes an edge agent collaborative computation method based on Actor model to satisfy the rapid processing and response requirements of large-scale data in the perception layer of the power Internet of things. Through a unified programming model, this paper can divide the collection and analysis of sensing data in the sensing layer of the power Internet of things into functional components, which can be deployed in different edge IoT agents, to improve the rapid processing ability of edge-side data. At the same time, the components achieve the function cooperation through the message passing mechanism. Finally, this paper implements the proposed scheme based on Akka framework, and designs the edge IoT agent collaborative computing prototype. The prototype system experiments show that the proposed scheme can split the complex services with high resource requirements into different components and deploy them in different edge IoT agents. The proposed method can improve the resource utilization and data processing capacity of the edge IoT agent of the power Internet of things, while ensuring the real-time requirements of edge service analysis.","","978-1-6654-2046-4","10.1109/ICPEE54380.2021.9662600","State Grid Corporation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9662600","Power IoT;Internet of things;Collaborative computing;Actor model;Akka framework","Computational modeling;Message passing;Collaboration;Prototypes;Programming;Data models;Real-time systems","","","","13","IEEE","3 Jan 2022","","","IEEE","IEEE Conferences"
"Research on the Identifier Technology of Electric Internet of Things Based on IPv6","W. Bai; Y. Lu; Y. Wen; F. Tao; X. Xv","Electric Power Intelligent Sensing Technology and Application State Grid Corporation Joint Laboratory, Global Energy Interconnection Research Institute Co., Ltd. (GEIRI), Beijing, China; Electric Power Intelligent Sensing Technology and Application State Grid Corporation Joint Laboratory, Global Energy Interconnection Research Institute Co., Ltd. (GEIRI), Beijing, China; Electric Power Intelligent Sensing Technology and Application State Grid Corporation Joint Laboratory, Global Energy Interconnection Research Institute Co., Ltd. (GEIRI), Beijing, China; Electric Power Intelligent Sensing Technology and Application State Grid Corporation Joint Laboratory, Global Energy Interconnection Research Institute Co., Ltd. (GEIRI), Beijing, China; State Grid Chongqing Electric Power Co. Electric Power Research Institute, Chongqing, China","2021 2nd Information Communication Technologies Conference (ICTC)","31 May 2021","2021","","","230","234","The Internet of Things identifier is the basic supporting technology to realize the precise interaction between things. With the advancement of the construction of the electric Internet of Things, the number of various terminal devices connected to the network has increased sharply, and the types are complex and diverse. There are many types of existing electric equipment identifier systems, and their compatibility is poor. With the access of a large number of terminal devices of the electric Internet of Things, the amount of data in the identifier system is huge, which will cause huge operation and maintenance costs and resource occupation. In response to the above problems, this paper proposes an IPv6 identifier scheme that supports large-scale electric equipment of the electric Internet of Things, designs the registration and network access procedures of the identifier, and then proposes an optimization mechanism for electric Internet of Things communication service transmission based on the ipv6 identifier. Experiments have proved that the identifier scheme and transmission optimization mechanism proposed in this paper can effectively reduce the communication delay and packet loss rate of the business in the electric Internet of Things, and achieve efficient support for the electric Internet of Things business.","","978-1-6654-0474-7","10.1109/ICTC51749.2021.9441625","State Grid Corporation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9441625","identifier;IPv6;identifier coding;transmission optimization mechanism;electric Internet of Things","Chaotic communication;Packet loss;Maintenance engineering;Communications technology;Delays;Internet of Things;Object recognition","","1","","11","IEEE","31 May 2021","","","IEEE","IEEE Conferences"
"Mongoose OS Prototyped ESP8266 Based Weather Forecaster","S. R. Pillutla; G. Suryanarayana; A. S. Kumar; S. E. Mathe; B. N. Rao","School of Electronics Engineering, VIT-AP University, Andhra Pradesh, India; Department of ECE, V R Siddhartha Engineering College, Kanuru, Vijayawada, India; Department of ECE, VNR VJIET, Bachupally, Hyderabad, India; School of Electronics Engineering, VIT-AP University, Andhra Pradesh, India; Department of ECE, NIT Warangal, Telangana, India","2022 International Conference on Recent Trends in Microelectronics, Automation, Computing and Communications Systems (ICMACC)","17 Apr 2023","2022","","","371","375","Internet of Things (IoT) enables many things like car, dustbin, and gas cylinder to be connected, communicated, and controlled. Furthermore, advances in Internet of Things makes home automation smarter. In the contemporary connected world it is highly required and comfortable to get a timely information which is priceless as it gets things accomplished smoothly and avoids many difficulties. Internet of Things, being the state of the art technology, features many capabilities such as facilitating a timely information. Many low power wireless devices and communication technologies are making Internet of Things based solutions available at a large scale. Internet of Things featured devices like ESP8266 and ESP32 become more popular to be end devices for the IoT network. The wireless capability of ESP8266 can be exploited to use it as a smart device to get data/information that can be utilized for applications such as a home automation. In this paper, an ESP8266 based weather forecaster prototype is implemented which communicates with an Open Weather Map web API to bring weather forecast information to assist people at home. In addition, the firmware for ESP8266 is developed using a platform called ‘Mongoose OS’ which efficiently provides lightweight OS/firmware for resource constrained devices such as ESP8266. The presented weather forecaster system is amenable with home environment.","","978-1-6654-9604-9","10.1109/ICMACC54824.2022.10093640","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10093640","Internet of Things;home automation;javascript;nodeMcu;open weather MAP API","Computers;Home automation;Weather forecasting;Prototypes;User interfaces;Market research;Microelectronics","","10","","26","IEEE","17 Apr 2023","","","IEEE","IEEE Conferences"
"Applications of Internet of Things(IoT) in Agriculture: The Need and Implementation","A. Anand; N. K. Trivedi; V. Gautam; R. G. Tiwari; D. Witarsyah; A. Misra","Apex Institute of Technology (CSE) Chandigarh University Gharuan, Mohali, Punjab, India; Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; Information System Departement, Telkom University, Bandung, Indonesia; Chitkara University Institute of Engineering and Technology, Chitkara University, Himachal, India","2022 International Conference Advancement in Data Science, E-learning and Information Systems (ICADEIS)","10 Feb 2023","2022","","","01","05","Humans are motivated to improve agricultural yields by implementing new technologies due to the world's growing population. Precision agriculture, which is expected to raise crops considerably, could be achieved via the Internet of Things (IoT). However, a significant investment in IoT systems for agriculture and farmers who are not computer aware make the large-scale implementation of IoT systems in agriculture problematic. As a result, it is advocated that the focus on the deployment of agriculture IoT systems be widened to include the entire life cycle of agriproducts. While adopting agricultural IoT systems, energy factor must be in consideration. Farmers' interest in IoT technologies will rise significantly if green IoT systems are used throughout the agri-product life cycle. Regarding IoT-based agricultural network technologies, several aspects, including network architecture and layers, network topologies, and network protocols, have been investigated. This research investigates the ways in which Internet of Things (IoT)-based agricultural systems may be combined with other important technologies, such as cloud computing, large amounts of data storage, and analytics. This study also discovers security issues in IoT agriculture. There have also been a few examples of successful IoT-based agriculture rules and policies that various countries have implemented. However, there are still many unanswered questions about IoT agriculture research.","","978-1-6654-6387-4","10.1109/ICADEIS56544.2022.10037505","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10037505","IoT;Smart Agriculture;Application;Management;Security","Protocols;Sociology;Crops;Production;Network architecture;Agriculture;Internet of Things","","7","","14","IEEE","10 Feb 2023","","","IEEE","IEEE Conferences"
